Voter,Rank,Award ,Player,,,,,,,
Henry,5,Hart,Cole Caufield,,,,,,,
Henry,1,Vezina,Connor Hellebuyck,,,,,,,
Henry,2,Vezina,Anthony Stolarz,,,,,,,
Henry,3,Vezina,Dustin Wolf,,,,,,,
Henry,4,Vezina,Filip Gustavsson,,,,,,,
Henry,5,Vezina,Andrei Vasilevskiy,,,,,,,
Henry,1,Frank J. Selke,Colton Parayko,,,,,,,
Henry,2,Frank J. Selke,Alex Pietrangelo,,,,,,,
Henry,3,Frank J. Selke,Zach Werenski,,,,,,,
Henry,4,Frank J. Selke,Owen Power,,,,,,,
Henry,5,Frank J. Selke,Josh Morrissey,,,,,,,
Henry,1,James Norris,Connor Hellebuyck,,,,,,,
Henry,2,James Norris,Dustin Wolf,,,,,,,
Henry,3,James Norris,Filip Gustavsson,,,,,,,
Henry,4,James Norris,Andrei Vasilevskiy,,,,,,,
Henry,5,James Norris,Cam Talbot,,,,,,,
Henry,1,Calder,Bobby Brink,,,,,,,
Henry,2,Calder,Wyatt Johnston,,,,,,,
Henry,3,Calder,Dylan Holloway,,,,,,,
Henry,4,Calder,Juraj Slafkovsky,,,,,,,
Henry,5,Calder,Will Cuylle,,,,,,,
Henry,1,Lady Byng,Jason Robertson,,,,,,,
Henry,2,Lady Byng,Nathan MacKinnon,,,,,,,
Henry,3,Lady Byng,Artemi Panarin,,,,,,,
Henry,4,Lady Byng,Cole Caufieldn,,,,,,,
Henry,5,Lady Byng,Aliaksei Protas,,,,,,,
Priya,1,Hart,Shayne Gostisbehere,,,,,,,
Priya,2,Hart,Jackson Blake,,,,,,,
Priya,3,Hart,Matthew Thachuk,,,,,,,
Priya,4,Hart,Leon Draisaitl,,,,,,,
Priya,5,Hart,Carter Verhaeghe,,,,,,,
Priya,1,Vezina,Conner Hellebuyck,,,,,,,
Priya,2,Vezina,Andrei Vasilevskiy,,,,,,,
Priya,3,Vezina,Logan Thompson,,,,,,,
Priya,4,Vezina,Mackenzie Blackwood,,,,,,,
Priya,5,Vezina,Flip Gustavsson,,,,,,,
Priya,1,Frank J. Selke,Nathan MacKinnon,,,,,,,
Priya,2,Frank J. Selke,Leon Draisaitl,,,,,,,
Priya,3,Frank J. Selke,Jack Huges,,,,,,,
Priya,4,Frank J. Selke,Mikko Rantanen,,,,,,,
Priya,5,Frank J. Selke,Sidney Crosby,,,,,,,
Priya,1,James Norris,Cale Maker,,,,,,,
Priya,2,James Norris,Zach Werenski,,,,,,,
Priya,3,James Norris,Quinn Huges,,,,,,,
Priya,4,James Norris,Evan Bouchard,,,,,,,
Priya,5,James Norris,Shayne Gostisbehere,,,,,,,
Priya,1,Calder,Kirill Marchenko,,,,,,,
Priya,2,Calder,Wyatt Johnston,,,,,,,
Priya,3,Calder,Marco Rossi,,,,,,,
Priya,4,Calder,Logan Cooley,,,,,,,
Priya,5,Calder,JJ Peterka,,,,,,,
Priya,1,Lady Byng,Mitch Marne,,,,,,,
Priya,2,Lady Byng,Jack Eichel,,,,,,,
Priya,3,Lady Byng,Jack Hughes,,,,,,,
Priya,4,Lady Byng,Clayton Keller,,,,,,,
Priya,5,Lady Byng,Jesper Bratt,,,,,,,
Barrie,1,Hart,Quinn Hughes,,,,,,,
Barrie,2,Hart,Zach Werenski,,,,,,,
Barrie,3,Hart,Cale Makar,,,,,,,
Barrie,4,Hart,Leon Draisaitl,,,,,,,
Barrie,5,Hart,Nikita Kucherov,,,,,,,
Barrie,1,Vezina,Connor Hellebuyck,,,,,,,
Barrie,2,Vezina,Andrei Vasilevskiy,,,,,,,
Barrie,3,Vezina,Logan Thompson,,,,,,,
Barrie,4,Vezina,Mackenzie Blackwood,,,,,,,
Barrie,5,Vezina,Joey Daccord,,,,,,,
Barrie,1,Frank J. Selke,Mikael Granlund,,,,,,,
Barrie,2,Frank J. Selke,Bryan Rust,,,,,,,
Barrie,3,Frank J. Selke,Chandler Stephenson,,,,,,,
Barrie,4,Frank J. Selke,Mika Zibanejad,,,,,,,
Barrie,5,Frank J. Selke,Mitch Marner,,,,,,,
Barrie,1,James Norris,Cale Makar,,,,,,,
Barrie,2,James Norris,Quinn Hughes,,,,,,,
Barrie,3,James Norris,Zach Werenski,,,,,,,
Barrie,4,James Norris,Evan Bouchard,,,,,,,
Barrie,5,James Norris,Shayne Gostisbehere,,,,,,,
Barrie,1,Calder,Kirill Marchenko,,,,,,,
Barrie,2,Calder,Marco Rossi,,,,,,,
Barrie,3,Calder,Wyatt Johnston,,,,,,,
Barrie,4,Calder,Pavel Dorofeyev,,,,,,,
Barrie,5,Calder,JJ Peterka,,,,,,,
Barrie,1,Lady Byng,Cale Makar,,,,,,,
Barrie,2,Lady Byng,Brayden Point,,,,,,,
Barrie,3,Lady Byng,Martin Necas,,,,,,,
Barrie,4,Lady Byng,Miro Heiskanen,,,,,,,
Barrie,5,Lady Byng,Thomas Harley,,,,,,,
Word.doc,1,Hart,Ekholm-Bouchard,,,,,,,
Word.doc,2,Hart,Slavis-Burns,,,,,,,
Word.doc,3,Hart,Toews-Makar,,,,,,,
Word.doc,4,Hart,Gostisbere-Walker,,,,,,,
Word.doc,5,Hart,Orlov-Chatfield,,,,,,,
Word.doc,1,Vezina,Connor Hellebuyck,,,,,,,
Word.doc,2,Vezina,Andrei Vasilevskiy,,,,,,,
Word.doc,3,Vezina,Ilya Sorokin,,,,,,,
Word.doc,4,Vezina,Igor Sh,,,,,,,
Word.doc,5,Vezina,Ukko-Pekka Luukkonen,,,,,,,
Word.doc,1,Frank J. Selke,Will Cuyllie,,,,,,,
Word.doc,2,Frank J. Selke,Fabian Zetterlund,,,,,,,
Word.doc,3,Frank J. Selke,Beck Malenstyn,,,,,,,
Word.doc,4,Frank J. Selke,Dylan Holloway,,,,,,,
Word.doc,5,Frank J. Selke,Juraj Slafkovsky,,,,,,,
Word.doc,1,James Norris,Moritz Seider,,,,,,,
Word.doc,2,James Norris,MacKenzie Weegar,,,,,,,
Word.doc,3,James Norris,Cale Makar,,,,,,,
Word.doc,4,James Norris,Colton Parayko,,,,,,,
Word.doc,5,James Norris,Neal Pionk,,,,,,,
Word.doc,1,Calder,Dylan Holloway,,,,,,,
Word.doc,2,Calder,Will Cuyllie,,,,,,,
Word.doc,3,Calder,Colton Dach,,,,,,,
Word.doc,4,Calder,Martin Pospisil,,,,,,,
Word.doc,5,Calder,Paul Cotter,,,,,,,
Word.doc,1,Lady Byng,,,,,,,,
Word.doc,2,Lady Byng,,,,,,,,
Word.doc,3,Lady Byng,,,,,,,,
Word.doc,4,Lady Byng,,,,,,,,
Word.doc,5,Lady Byng,,,,,,,,
John ,1,Hart,Leon Draisaitl,,,,,,,
John ,2,Hart,Nathan MacKinnon,,,,,,,
John ,3,Hart,Nikita Kucherov,,,,,,,
John ,4,Hart,David Pastrnak,,,,,,,
John ,5,Hart,Kyle Connor,,,,,,,
John ,1,Vezina,Connor Hellebuyck,,,,,,,
John ,2,Vezina,Andrei Vasilevskiy,,,,,,,
John ,3,Vezina,Logan Thompson,,,,,,,
John ,4,Vezina,Jacob Markstrom,,,,,,,
John ,5,Vezina,Linus Ullmark,,,,,,,
John ,1,Frank J. Selke,Jordan Martinook,,,,,,,
John ,2,Frank J. Selke,Fabian Zetterlund,,,,,,,
John ,3,Frank J. Selke,Nino Niederreiter,,,,,,,
John ,4,Frank J. Selke,Connor McMichael,,,,,,,
John ,5,Frank J. Selke,Timo Meier,,,,,,,
John ,1,James Norris,Shayne Gotisbehere,,,,,,,
John ,2,James Norris,Evan Bouchard,,,,,,,
John ,3,James Norris,Sean Walker,,,,,,,
John ,4,James Norris,Quinn Hughes,,,,,,,
John ,5,James Norris,Nate Schmidt,,,,,,,
John ,1,Calder,Kirill Machenko,,,,,,,
John ,2,Calder,Wyatt Johnston,,,,,,,
John ,3,Calder,Marco Rossi,,,,,,,
John ,4,Calder,Logan Thompson,,,,,,,
John ,5,Calder,Dylan Holloway,,,,,,,
John ,1,Lady Byng,Brayed Point,,,,,,,
John ,2,Lady Byng,William Karlsson,,,,,,,
John ,3,Lady Byng,Cole Schwindt,,,,,,,
John ,4,Lady Byng,Anze Kopitar,,,,,,,
John ,5,Lady Byng,Jimmy Vesey,,,,,,,
Betsy,1,Hart,Samuel Buldoc,,,,,,,
Betsy,2,Hart,Nathan Clurman,,,,,,,
Betsy,3,Hart,Justin Sourdif,,,,,,,
Betsy,4,Hart,Shayne Gostisbeher,,,,,,,
Betsy,5,Hart,Rasmus Asblund,,,,,,,
Betsy,1,Vezina,Connor Hellebuyck,,,,,,,
Betsy,2,Vezina,Andrei Vasilevskiy,,,,,,,
Betsy,3,Vezina,Ilya Sorokin,,,,,,,
Betsy,4,Vezina,Sam Montembeault,,,,,,,
Betsy,5,Vezina,Juuse Saros,,,,,,,
Betsy,1,Frank J. Selke,Brandon Tanev,,,,,,,
Betsy,2,Frank J. Selke,Alex Tuch,,,,,,,
Betsy,3,Frank J. Selke,Noel Acciari,,,,,,,
Betsy,4,Frank J. Selke,Vincent Trocheck,,,,,,,
Betsy,5,Frank J. Selke,Rickard Rakell,,,,,,,
Betsy,1,James Norris,Jake Sanderson,,,,,,,
Betsy,2,James Norris,Ian Cole,,,,,,,
Betsy,3,James Norris,Jaccob Slavin,,,,,,,
Betsy,4,James Norris,Jacob Trouba,,,,,,,
Betsy,5,James Norris,Cale Makar,,,,,,,
Betsy,1,Calder,Nathan Clurman,,,,,,,
Betsy,2,Calder,Samuel Bolduc,,,,,,,
Betsy,3,Calder,Angus Crookshank,,,,,,,
Betsy,4,Calder,Ryan Suzuki,,,,,,,
Betsy,5,Calder,Alex Laferriere,,,,,,,
Betsy,1,Lady Byng,Kyle Connor,,,,,,,
Betsy,2,Lady Byng,Sidney Crosby,,,,,,,
Betsy,3,Lady Byng,Brayden Point,,,,,,,
Betsy,4,Lady Byng,Anze Kopitar,,,,,,,
Betsy,5,Lady Byng,Shea Theodore,,,,,,,
Sharon ,1,Hart,Nathan MacKinnon,,,,,,,
Sharon ,2,Hart,Leon Draisaitl,,,,,,,
Sharon ,3,Hart,Nikita Kucherov,,,,,,,
Sharon ,4,Hart,Cale Makar,,,,,,,
Sharon ,5,Hart,Jack Eichel,,,,,,,
Sharon ,1,Vezina,Connor Hellebuyck,,,,,,,
Sharon ,2,Vezina,Andrei Vasilevskiy,,,,,,,
Sharon ,3,Vezina,Mackenzie Blackwood,,,,,,,
Sharon ,4,Vezina, Igor Shesterkin,,,,,,,
Sharon ,5,Vezina, Ilya Sorokin,,,,,,,
Sharon ,1,Frank J. Selke,Brandon Tanev,,,,,,,
Sharon ,2,Frank J. Selke,Alex Tuch,,,,,,,
Sharon ,3,Frank J. Selke,Noel Acciari,,,,,,,
Sharon ,4,Frank J. Selke,Rickard Rakell,,,,,,,
Sharon ,5,Frank J. Selke,Vincent Trocheck,,,,,,,
Sharon ,1,James Norris,Ian Cole,,,,,,,
Sharon ,2,James Norris,Jacob Trouba,,,,,,,
Sharon ,3,James Norris,Chris Tanev,,,,,,,
Sharon ,4,James Norris,Rasmus Andersson,,,,,,,
Sharon ,5,James Norris,Nick Seeler,,,,,,,
Sharon ,1,Calder,Kirill Marchenko,,,,,,,
Sharon ,2,Calder,Matthew Knies,,,,,,,
Sharon ,3,Calder,Wyatt Johnston,,,,,,,
Sharon ,4,Calder,Marco Rossi,,,,,,,
Sharon ,5,Calder,JJ Peterka,,,,,,,
Sharon ,1,Lady Byng,Nick Suzuki,,,,,,,
Sharon ,2,Lady Byng,jack Eichel,,,,,,,
Sharon ,3,Lady Byng,Martin Necas,,,,,,,
Sharon ,4,Lady Byng,Mitch Marner,,,,,,,
Sharon ,5,Lady Byng,Jesper Bratt,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Marwa,1,Hart,Nikita Kucherov,,,,,,,
Marwa,2,Hart,Leon Draisaitl,,,,,,,
Marwa,3,Hart,Nathan MacKinnon,,,,,,,
Marwa,4,Hart,Kirill Kaprizov,,,,,,,
Marwa,5,Hart,Connor McDavid,,,,,,,
Marwa,1,Vezina,Logan Thompson,,,,,,,
Marwa,2,Vezina,Dustin Wolf,,,,,,,
Marwa,3,Vezina,Lukas Dostal,,,,,,,
Marwa,4,Vezina,Joseph Woll,,,,,,,
Marwa,5,Vezina,Pyotr Kochetkov,,,,,,,
Marwa,1,Frank J. Selke,Jackson Blake,,,,,,,
Marwa,2,Frank J. Selke,Tomas Hertl,,,,,,,
Marwa,3,Frank J. Selke,Nathan MacKinnon,,,,,,,
Marwa,4,Frank J. Selke,Leon Draisaitl,,,,,,,
Marwa,5,Frank J. Selke,Connor McDavid,,,,,,,
Marwa,1,James Norris,Quinn Hughes,,,,,,,
Marwa,2,James Norris,Shea Theodore,,,,,,,
Marwa,3,James Norris,Cale Makar,,,,,,,
Marwa,4,James Norris,Zach Werenski,,,,,,,
Marwa,5,James Norris,Rasmus Dahlin,,,,,,,
Marwa,1,Calder,Kirill Marchenko,,,,,,,
Marwa,2,Calder,Wyatt Johnston,,,,,,,
Marwa,3,Calder,Kent Johnson,,,,,,,
Marwa,4,Calder,Logan Cooley,,,,,,,
Marwa,5,Calder,Marco Rossi,,,,,,,
Marwa,1,Lady Byng,William Karlsson,,,,,,,
Marwa,2,Lady Byng,Jimmy Vesey,,,,,,,
Marwa,3,Lady Byng,Cole Schwindt,,,,,,,
Marwa,4,Lady Byng,Brayden Point,,,,,,,
Marwa,5,Lady Byng,Anze Kopitar,,,,,,,
